"pd","t225","t140","t175","t27","t172","t86","t275","t219","t66","t158","t231","t8","t59","t252","t90","t105","t125","t226","t242","t136","t238","t114"
540,0.0120246663320955,0.321332522799886,0.00458006136891267,0.342320009037262,0.00438150640593558,0.00314211584663415,0.00389408067260972,0.00389408067260972,0.00445087951657306,0.00473972236570757,0.282792486357967,0.282792486357966,0.00462866801942101,0.00462866801942101,0.00476768050313991,0.00476768050313991,0.00316516639516981,0.00316516639516981,0.0045014025231826,0.0045014025231826,0.00447237243947513,0.00447237243947511
541,0.0119805256275639,0.3212762643715,0.00456208705812317,0.342286380492609,0.00436408682424042,0.0031280766974612,0.0038780315961678,0.0038780315961678,0.00443325594548454,0.0047212899538911,0.28270250579227,0.282702505792269,0.00461054945445012,0.00461054945445012,0.00474916687591169,0.00474916687591169,0.00315104626379099,0.00315104626379099,0.0044836291031557,0.0044836291031557,0.00445468391693991,0.00445468391693989
542,0.0119366259225328,0.321220114818718,0.00454421590347156,0.342252815516126,0.00434676811480002,0.00311412578604289,0.00386207780965247,0.00386207780965247,0.00441573414071347,0.00470296266541039,0.282612708390318,0.282612708390318,0.00459253468936099,0.00459253468936099,0.00473075872715977,0.00473075872715977,0.00313701478009541,0.00313701478009541,0.00446595811440509,0.00446595811440509,0.00443709745514949,0.00443709745514947
543,0.0118929654752195,0.32116407373253,0.00452644712709498,0.342219313871249,0.00432954951171077,0.00310026239855505,0.00384621857545222,0.00384621857545222,0.00439831333124692,0.00468473971139138,0.282523093450098,0.282523093450097,0.00457462294250694,0.00457462294250694,0.0047124552659693,0.0047124552659693,0.00312307122757215,0.00312307122757215,0.0044483887820501,0.0044483887820501,0.00441961228133243,0.00441961228133241
544,0.0118495425594708,0.321108140706205,0.00450877995838718,0.342185875322725,0.00431243025625454,0.00308648582822717,0.00383045316298571,0.00383045316298571,0.0043809927532925,0.00466662031029025,0.282433660273551,0.28243366027355,0.00455681343952501,0.00455681343952501,0.0046942557087699,0.0046942557087699,0.00310921489678538,0.00310921489678538,0.00443092033845784,0.00443092033845784,0.00440222762995062,0.00440222762995059
545,0.0118063554645956,0.321052315335278,0.00449121363391804,0.342152499636603,0.00429540959681856,0.00307279537526023,0.00381478084862233,0.00381478084862233,0.00436377165019788,0.00464860368781236,0.282344408166551,0.28234440816655,0.00453910541325527,0.00453910541325527,0.00467615927925446,0.00467615927925446,0.00309544508529191,0.00309544508529191,0.00441355202316255,0.00441355202316255,0.00438494274261879,0.00438494274261877
546,0.0117634024952002,0.320996597217532,0.00447374739735394,0.342119186580228,0.00427848678881622,0.00305919034674547,0.00379920091560367,0.00379920091560367,0.00434664927237146,0.00463068907683213,0.28225533643887,0.282255336438869,0.0045214981036609,0.0045214981036609,0.00465816520829893,0.00465816520829893,0.00308176109755981,0.00308176109755981,0.00439628308278589,0.00439628308278589,0.00436775686802495,0.00436775686802493
547,0.0117206819710248,0.320940985952979,0.00445638049937929,0.342085935922227,0.00426166109460902,0.00304567005658441,0.00378371265396614,0.00378371265396614,0.0043296248772039,0.00461287571731399,0.282166444404153,0.282166444404153,0.00450399075774958,0.00450399075774958,0.00464027273388313,0.00464027273388313,0.00306816224488822,0.00306816224488822,0.00437911277095845,0.00437911277095845,0.00435066926185194,0.00435066926185193
548,0.0116781922267825,0.32088548114385,0.00443911219761898,0.342052747432502,0.00424493178342938,0.0030322338254098,0.0037683153604645,0.0037683153604645,0.0043126977289908,0.00459516285623438,0.282077731379887,0.282077731379886,0.00448658262949571,0.00448658262949571,0.00462248110101264,0.00462248110101264,0.00305464784532814,0.00305464784532814,0.00436204034824212,0.00436204034824212,0.00433367918669993,0.00433367918669991
549,0.0116359316120004,0.320830082394571,0.00442194175656193,0.342019620882219,0.00422829813130459,0.00301888098050776,0.00375300833849645,0.00375300833849645,0.00429586709885633,0.00457754974750464,0.281989196687372,0.281989196687371,0.00446927297976368,0.00446927297976368,0.00460478956164162,0.00460478956164162,0.00304121722360433,0.00304121722360433,0.00434506508205347,0.00434506508205347,0.00431678591200994,0.00431678591200992
550,0.0115938984908624,0.320774789311753,0.00440486844748544,0.341986556043801,0.00421175942098164,0.00300561085574081,0.0037377908980282,0.0037377908980282,0.00427913226467781,0.00456003565189498,0.281900839651695,0.281900839651694,0.00445206107623206,0.00445206107623206,0.00458719737459661,0.00458719737459661,0.0030278697110382,0.0030278697110382,0.00432818624658821,0.00432818624658821,0.00429998871398835,0.00429998871398834
551,0.0115520912420541,0.320719601504174,0.0043878915483807,0.341953552690917,0.00419531494185305,0.0029924227914721,0.00372266235552091,0.00372266235552091,0.00426249251101128,0.00454261983695936,0.281812659601701,0.2818126596017,0.00443494619331893,0.00443494619331893,0.00456970380550139,0.00456970380550139,0.00301460464547179,0.00301460464547179,0.00431140312274652,0.00431140312274652,0.00428328687553235,0.00428328687553234
